Date,ID,Location,Distance,DrivingConsumption,ChargingStation,PowerRating_kW,Load_kW,SOC
2020-01-07 00:00:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.968
2020-01-07 00:15:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.968
2020-01-07 00:30:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.968
2020-01-07 00:45:00,0.0,driving,3.0,0.549,none,0.0,0.0,0.956
2020-01-07 01:00:00,0.0,home,0.0,0.0,home,3.7,3.7,0.974
2020-01-07 01:15:00,0.0,home,0.0,0.0,home,3.7,3.7,0.993
2020-01-07 01:30:00,0.0,home,0.0,0.0,home,3.7,1.489,1.0
2020-01-07 01:45:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 02:00:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 02:15:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 02:30:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 02:45:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 03:00:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 03:15:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 03:30:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 03:45:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 04:00:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 04:15:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 04:30:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 04:45:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 05:00:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 05:15:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 05:30:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 05:45:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 06:00:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-07 06:15:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
