Date,ID,Location,Distance,DrivingConsumption,ChargingStation,PowerRating_kW,Load_kW,SOC
2020-01-09 00:00:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 00:15:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 00:30:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 00:45:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 01:00:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 01:15:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 01:30:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 01:45:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 02:00:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 02:15:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 02:30:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 02:45:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 03:00:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 03:15:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 03:30:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 03:45:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 04:00:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 04:15:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 04:30:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 04:45:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 05:00:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 05:15:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 05:30:00,0.0,home,0.0,0.0,home,3.7,3.7,1.0
2020-01-09 05:45:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-09 06:00:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-09 06:15:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-09 06:30:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-09 06:45:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-09 07:00:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-09 07:15:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-09 07:30:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-09 07:45:00,0.0,home,0.0,0.0,home,3.7,0.0,1.0
2020-01-09 08:00:00,0.0,driving,12.667,2.401,none,0.0,0.0,0.947
2020-01-09 08:15:00,0.0,driving,12.667,2.401,none,0.0,0.0,0.893
2020-01-09 08:30:00,0.0,driving,12.667,2.401,none,0.0,0.0,0.84
2020-01-09 08:45:00,0.0,errands,0.0,0.0,public,22.0,22.0,0.95
2020-01-09 09:00:00,0.0,errands,0.0,0.0,public,22.0,10.017,1.0
2020-01-09 09:15:00,0.0,driving,5.0,0.706,none,0.0,0.0,0.984
2020-01-09 09:30:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 09:45:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 10:00:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 10:15:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 10:30:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 10:45:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 11:00:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 11:15:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 11:30:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 11:45:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 12:00:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 12:15:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 12:30:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 12:45:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 13:00:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 13:15:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 13:30:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 13:45:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 14:00:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 14:15:00,0.0,shopping,0.0,0.0,none,0.0,0.0,0.984
2020-01-09 14:30:00,0.0,driving,4.333,0.702,none,0.0,0.0,0.969
2020-01-09 14:45:00,0.0,driving,4.333,0.702,none,0.0,0.0,0.953
2020-01-09 15:00:00,0.0,driving,4.333,0.702,none,0.0,0.0,0.938
2020-01-09 15:15:00,0.0,home,0.0,0.0,home,3.7,3.7,0.956
2020-01-09 15:30:00,0.0,home,0.0,0.0,home,3.7,3.7,0.975
2020-01-09 15:45:00,0.0,home,0.0,0.0,home,3.7,3.7,0.993
2020-01-09 16:00:00,0.0,driving,2.0,0.369,none,0.0,0.0,0.985
2020-01-09 16:15:00,0.0,leisure,0.0,0.0,public,22.0,3.039,1.0
2020-01-09 16:30:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 16:45:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 17:00:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 17:15:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 17:30:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 17:45:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 18:00:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 18:15:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 18:30:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 18:45:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 19:00:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 19:15:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 19:30:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 19:45:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 20:00:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
2020-01-09 20:15:00,0.0,leisure,0.0,0.0,public,22.0,-0.0,1.0
