Zeitstempel;Einstrahlung;P_TOTAL

2021-05-31 06:00:00;171.75;1285.0937
2021-05-31 06:00:01;171.75;1276.9624
2021-05-31 06:00:02;171.75;1290.975
2021-05-31 06:00:03;;
2021-05-31 06:00:04;171.65;1292.9687
2021-05-31 06:00:05;171.65;1292.8062
2021-05-31 06:00:06;171.65;1297.4186
2021-05-31 06:00:07;171.9;1230.9
2021-05-31 06:00:08;171.75;1225.8
2021-05-31 06:00:09;171.9;1292.9624000000001
2021-05-31 06:00:10;172.0;1292.6437
2021-05-31 06:00:11;172.15;1292.8062
2021-05-31 06:00:12;;
2021-05-31 06:00:13;172.15;1281.2375
2021-05-31 06:00:14;172.2;1301.7873
2021-05-31 06:00:15;172.25;1313.4061000000002
2021-05-31 06:00:16;172.5;1317.7938
2021-05-31 06:00:17;172.7;1317.5499
2021-05-31 06:00:18;172.85;1323.6437
2021-05-31 06:00:19;172.75;1334.125
2021-05-31 06:00:20;172.7;1223.5500000000002
2021-05-31 06:00:21;;
2021-05-31 06:00:22;172.7;1292.9686
2021-05-31 06:00:23;172.85;1292.7249
2021-05-31 06:00:24;173.0;1317.3874
2021-05-31 06:00:25;173.0;1305.5248000000001
2021-05-31 06:00:26;173.15;1304.9562999999998
2021-05-31 06:00:27;173.1;1316.3312
2021-05-31 06:00:28;173.2;1317.55
2021-05-31 06:00:29;172.85;1317.7124
2021-05-31 06:00:30;;
2021-05-31 06:00:31;173.4;1324.5374
2021-05-31 06:00:32;173.2;1308.9
2021-05-31 06:00:33;173.45;1261.2937000000002
2021-05-31 06:00:34;173.45;1317.7124
2021-05-31 06:00:35;173.5;1317.7125
2021-05-31 06:00:36;173.5;1316.8188
2021-05-31 06:00:37;173.7;1304.9562
2021-05-31 06:00:38;173.7;1304.5499
2021-05-31 06:00:39;173.9;1317.7936
2021-05-31 06:00:40;;
2021-05-31 06:00:41;173.7;1317.5499
2021-05-31 06:00:42;173.85;1317.875
2021-05-31 06:00:43;174.0;1325.5126
2021-05-31 06:00:44;174.25;1308.8186
2021-05-31 06:00:45;174.15;1261.8563
2021-05-31 06:00:46;174.25;1317.6311
2021-05-31 06:00:47;174.2;1317.3874999999998
2021-05-31 06:00:48;174.4;1317.3063
2021-05-31 06:00:49;;
2021-05-31 06:00:50;;
2021-05-31 06:00:51;174.7;1304.7125
2021-05-31 06:00:52;174.6;1316.2499
2021-05-31 06:00:53;174.5;1317.6311999999998
2021-05-31 06:00:54;174.6;1317.6311999999998
2021-05-31 06:00:55;174.7;1324.6186
2021-05-31 06:00:56;174.75;1334.1249
2021-05-31 06:00:57;174.65;1261.1124
2021-05-31 06:00:58;174.85;1317.55
2021-05-31 06:00:59;;
2021-05-31 06:01:00;174.95;1317.55
2021-05-31 06:01:01;175.0;1316.3310999999999
2021-05-31 06:01:02;174.9;1304.1437
2021-05-31 06:01:03;175.15;1308.2874000000002
2021-05-31 06:01:04;175.0;1317.7124
2021-05-31 06:01:05;175.35;1317.6311999999998
2021-05-31 06:01:06;175.15;1317.3874999999998
2021-05-31 06:01:07;175.0;1324.6999
2021-05-31 06:01:08;;
2021-05-31 06:01:09;175.2;1334.1248
2021-05-31 06:01:10;175.35;1319.0937
2021-05-31 06:01:11;175.5;1317.6312
2021-05-31 06:01:12;175.65;1317.7125
2021-05-31 06:01:13;175.85;1310.1561000000002
2021-05-31 06:01:14;175.65;1301.2188
2021-05-31 06:01:15;175.75;1304.9562
2021-05-31 06:01:16;175.9;1317.7938
2021-05-31 06:01:17;;
2021-05-31 06:01:18;176.0;1317.7936
2021-05-31 06:01:19;175.85;1317.7125
2021-05-31 06:01:20;176.0;1332.4188
2021-05-31 06:01:21;176.25;1333.9624
2021-05-31 06:01:22;176.35;1323.8061
2021-05-31 06:01:23;176.35;1317.6312
2021-05-31 06:01:24;176.6;1317.6312
2021-05-31 06:01:25;176.2;1317.0626
2021-05-31 06:01:26;176.35;1301.2187000000001
2021-05-31 06:01:27;;
2021-05-31 06:01:28;176.65;1308.6125000000002
2021-05-31 06:01:29;176.6;1317.6312
2021-05-31 06:01:30;176.2;1317.7125
2021-05-31 06:01:31;176.6;1317.5499
2021-05-31 06:01:32;176.7;1326.8937
2021-05-31 06:01:33;177.0;1325.2687
2021-05-31 06:01:34;177.15;1319.2562
2021-05-31 06:01:35;176.95;1317.6311999999998
2021-05-31 06:01:36;;
2021-05-31 06:01:37;177.15;1317.5499
2021-05-31 06:01:38;177.0;1311.2936
2021-05-31 06:01:39;177.1;1300.975
2021-05-31 06:01:40;177.15;1354.4187
2021-05-31 06:01:41;;
2021-05-31 06:01:42;177.4;1317.7125
2021-05-31 06:01:43;177.45;1324.5375
2021-05-31 06:01:44;177.45;1331.9312
2021-05-31 06:01:45;177.7;1332.4999
2021-05-31 06:01:46;;
2021-05-31 06:01:47;177.75;1317.7124
2021-05-31 06:01:48;177.85;1317.3874
2021-05-31 06:01:49;177.95;1317.3062
2021-05-31 06:01:50;177.9;1305.7687
2021-05-31 06:01:51;178.4;1301.1375
2021-05-31 06:01:52;178.2;1347.6750000000002
2021-05-31 06:01:53;178.2;1314.0563
2021-05-31 06:01:54;178.15;1309.3437
2021-05-31 06:01:55;;
2021-05-31 06:01:56;178.2;1347.9188
2021-05-31 06:01:57;178.1;1346.3186
2021-05-31 06:01:58;178.5;1348.4687
2021-05-31 06:01:59;178.45;1347.1125
2021-05-31 06:02:00;178.5;1347.0312
2021-05-31 06:02:01;178.6;1347.0374000000002
2021-05-31 06:02:02;178.65;1347.5438
2021-05-31 06:02:03;178.65;1306.7437
2021-05-31 06:02:04;;
2021-05-31 06:02:05;178.9;1307.7188
2021-05-31 06:02:06;178.9;1346.7812
2021-05-31 06:02:07;178.7;1355.8812
2021-05-31 06:02:08;178.9;1323.2374
2021-05-31 06:02:09;179.15;1333.8
2021-05-31 06:02:10;179.0;1323.8875
2021-05-31 06:02:11;179.25;1317.8749
2021-05-31 06:02:12;179.15;1356.125
2021-05-31 06:02:13;;
2021-05-31 06:02:14;179.2;1354.0562
2021-05-31 06:02:15;179.35;1342.3563000000001
2021-05-31 06:02:16;179.35;1339.15
2021-05-31 06:02:17;179.4;1355.7188
2021-05-31 06:02:18;179.6;1352.1936999999998
2021-05-31 06:02:19;179.7;1347.0375
2021-05-31 06:02:20;179.65;1345.6188
2021-05-31 06:02:21;179.85;1346.3999
2021-05-31 06:02:22;;
